Id;HR Date;Hour;Minute;HR
2026352035;17/04/2016;5;30;68
2026352035;17/04/2016;5;31;68
2026352035;17/04/2016;5;32;67
2026352035;17/04/2016;5;33;65
2026352035;17/04/2016;5;34;64
2026352035;17/04/2016;5;35;64
2026352035;17/04/2016;5;36;65
2026352035;17/04/2016;5;37;65
2026352035;17/04/2016;5;38;65
2026352035;17/04/2016;5;39;66
2026352035;17/04/2016;5;40;69
2026352035;17/04/2016;5;41;68
2026352035;17/04/2016;5;42;68
2026352035;17/04/2016;5;43;68
2026352035;17/04/2016;5;44;68
2026352035;17/04/2016;5;45;66
2026352035;17/04/2016;5;46;66
2026352035;17/04/2016;5;47;67
2026352035;17/04/2016;5;48;66
2026352035;17/04/2016;5;49;67
2026352035;17/04/2016;5;50;68
2026352035;17/04/2016;5;51;68
2026352035;17/04/2016;5;52;68
2026352035;17/04/2016;5;53;68
2026352035;17/04/2016;5;54;68
2026352035;17/04/2016;5;55;67
2026352035;17/04/2016;5;56;67
2026352035;17/04/2016;5;57;70
2026352035;17/04/2016;5;58;71
2026352035;17/04/2016;5;59;72
2026352035;17/04/2016;6;  -  ;72
2026352035;17/04/2016;6;1;72
2026352035;17/04/2016;6;2;70
2026352035;17/04/2016;6;3;70
2026352035;17/04/2016;6;4;73
2026352035;17/04/2016;6;5;73
2026352035;17/04/2016;6;6;73
2026352035;17/04/2016;6;7;73
2026352035;17/04/2016;6;27;76
2026352035;17/04/2016;6;28;79
2026352035;25/04/2016;9;37;91
2026352035;25/04/2016;9;38;99
2026352035;25/04/2016;9;39;103
2026352035;25/04/2016;9;40;102
2026352035;25/04/2016;9;41;104
2026352035;25/04/2016;9;42;105
2026352035;25/04/2016;9;43;103
2026352035;25/04/2016;9;44;104
2026352035;25/04/2016;9;45;103
2026352035;25/04/2016;9;46;110
2026352035;25/04/2016;9;47;109
2026352035;25/04/2016;9;48;103
2026352035;25/04/2016;9;49;102
2026352035;25/04/2016;9;50;102
2026352035;25/04/2016;9;51;107
2026352035;25/04/2016;9;52;109
2026352035;25/04/2016;9;53;110
2026352035;25/04/2016;9;54;107
2026352035;25/04/2016;9;55;107
2026352035;25/04/2016;9;56;112
2026352035;25/04/2016;9;57;111
2026352035;25/04/2016;9;58;109
2026352035;25/04/2016;9;59;109
2026352035;25/04/2016;10;  -  ;107
2026352035;25/04/2016;10;1;101
2026352035;25/04/2016;10;2;106
2026352035;25/04/2016;10;3;99
2026352035;25/04/2016;10;4;89
2026352035;25/04/2016;10;5;88
2026352035;25/04/2016;10;6;90
2026352035;25/04/2016;10;7;91
2026352035;25/04/2016;10;8;97
2026352035;25/04/2016;10;9;102
2026352035;25/04/2016;10;10;102
2026352035;25/04/2016;10;11;96
2026352035;25/04/2016;10;12;96
2026352035;25/04/2016;10;13;97
2026352035;25/04/2016;10;14;97
2026352035;25/04/2016;10;15;97
2026352035;25/04/2016;10;16;97
2026352035;25/04/2016;10;17;94
2026352035;25/04/2016;10;18;93
2026352035;25/04/2016;10;19;94
2026352035;25/04/2016;10;20;97
2026352035;25/04/2016;10;21;100
2026352035;25/04/2016;10;22;94
2026352035;25/04/2016;10;23;93
2026352035;25/04/2016;10;24;100
2026352035;25/04/2016;10;25;99
2026352035;25/04/2016;10;26;92
2026352035;25/04/2016;10;27;92
2026352035;25/04/2016;10;28;94
2026352035;25/04/2016;10;29;94
2026352035;25/04/2016;10;31;93
